,Date,return,Y1,predicted,binary,ticker,pTradeRate,tTradeBool,top,strat
123,2024-07-26,0.026744874713466,2.1428260396510007e-05,0.0226894502367324,0,META,2.1428260396510007e-05,2.1428260396510007e-05,1,0.0
124,2024-07-29,2.1428260396510007e-05,-0.0054257621108145,-0.0032656403167226,0,META,0.0,0.0,0,2.1428260396510007e-05
125,2024-07-30,-0.0054257621108145,0.0248194746090228,-0.0083068663555637,0,META,0.0,0.0248194746090228,0,-0.0
127,2024-07-02,0.019366723905145,0.0379174292779899,0.0217628418676578,0,TSM,0.0379174292779899,0.0379174292779899,1,0.0
128,2024-07-03,0.0379174292779899,0.008186031059875,0.0299860992824393,0,TSM,0.008186031059875,0.008186031059875,1,0.0379174292779899
129,2024-07-05,0.008186031059875,0.0142466351963241,0.0082514176394717,0,TSM,0.0142466351963241,0.0142466351963241,0,0.008186031059875
130,2024-07-08,0.0142466351963241,-0.0113701915140217,0.0209860538820717,0,TSM,-0.0113701915140217,0.0,1,0.0
131,2024-07-09,-0.0113701915140217,0.0347773080224375,-0.0114444489544872,0,TSM,0.0,0.0347773080224375,0,-0.0113701915140217
132,2024-07-10,0.0347773080224375,-0.0348857263859349,0.0350065025436475,0,TSM,-0.0348857263859349,0.0,1,0.0
133,2024-07-11,-0.0348857263859349,0.0153290943372596,-0.0231697861400594,0,TSM,0.0,0.0153290943372596,0,-0.0348857263859349
134,2024-07-12,0.0153290943372596,-0.0114342434851607,0.0219951362046472,0,TSM,-0.0114342434851607,0.0,1,0.0
135,2024-07-15,-0.0114342434851607,0.0044173539349156,-0.0125026114710709,0,TSM,0.0,0.0044173539349156,0,-0.0114342434851607
136,2024-07-16,0.0044173539349156,-0.0831292223856429,0.0043479244830552,0,TSM,-0.0831292223856429,0.0,1,0.0
137,2024-07-17,-0.0831292223856429,0.0039059027967249,-0.0262430220782114,0,TSM,0.0,0.0039059027967249,0,-0.0831292223856429
138,2024-07-18,0.0039059027967249,-0.0361370374684773,-0.0013262034799985,0,TSM,0.0,0.0,0,0.0
139,2024-07-19,-0.0361370374684773,0.0213663040944153,-0.026334493610151,0,TSM,0.0,0.0213663040944153,0,-0.0
140,2024-07-22,0.0213663040944153,0.0027714803959061,0.026974140299315,0,TSM,0.0027714803959061,0.0027714803959061,1,0.0
141,2024-07-23,0.0027714803959061,-0.0608160432709903,-0.0012639581652734,0,TSM,0.0,0.0,0,0.0027714803959061
142,2024-07-24,-0.0608160432709903,0.0029992257223451,-0.0260699689956326,0,TSM,0.0,0.0029992257223451,0,-0.0
143,2024-07-25,0.0029992257223451,0.0103036331820833,-0.0002426682500393,0,TSM,0.0,0.0103036331820833,0,0.0
144,2024-07-26,0.0103036331820833,-0.0119896323833078,0.0053151785243965,0,TSM,-0.0119896323833078,0.0,0,0.0
145,2024-07-29,-0.0119896323833078,-0.0347833598894194,-0.0171735654638643,0,TSM,0.0,0.0,0,-0.0
146,2024-07-30,-0.0347833598894194,0.0703293420462203,-0.0258567442886074,0,TSM,0.0,0.0703293420462203,0,-0.0
148,2024-07-02,-0.0084126103724929,-0.0095412943380879,-0.0146041138065741,0,LLY,0.0,0.0,0,-0.0
149,2024-07-03,-0.0095412943380879,0.018172623976999,-0.0168861971074011,0,LLY,0.0,0.018172623976999,0,-0.0
150,2024-07-05,0.018172623976999,0.0037433731507125,0.0212500603518551,0,LLY,0.0037433731507125,0.0037433731507125,1,0.0
151,2024-07-08,0.0037433731507125,0.0156717608974801,0.0036301732442416,0,LLY,0.0156717608974801,0.0156717608974801,0,0.0037433731507125
152,2024-07-09,0.0156717608974801,0.0077766849748388,0.0226278901627031,0,LLY,0.0077766849748388,0.0077766849748388,1,0.0
153,2024-07-10,0.0077766849748388,-0.0060195008819699,0.0073504444154414,0,LLY,-0.0060195008819699,0.0,0,0.0077766849748388
